first_name,last_name,birthday,address,email,phone,years_as_customer
Douglas,King,1971-01-29,"367 Misty Estates East Ryan, SD 62015",DouglasKing@outlook.com,6869790030,8
Michael,Pacheco,1983-11-10,"501 Patel Common North Michael, IL 66862",M.Pacheco@live.com,8765261927,4
Sharon,Scott,1986-07-12,"3341 Michelle Court Suite 527 West Andrewfort, ID 49479",SharonScott@live.com,8037723887,2
Douglas,Casey,1965-07-25,"80017 Carolyn Square Apt. 993 Lake Anthony, AR 47435",D.Casey@live.com,6637142695,9
Steven,Holt,1978-04-20,"44316 Christina Ford Apt. 295 Allenstad, MS 57878",Steven.H@gmail.com,7877653277,10
Kelly,Rubio,2003-08-16,"12608 Johnson Glen Suite 636 Keithside, SD 61054",KellyRubio@msn.com,8179059508,6
Bonnie,Pierce,1994-12-27,"86295 Kevin Walk Apt. 051 Sarahberg, HI 82214",KellyRubio@msn.com,8457958710,5
Ashley,Ross,1970-02-07,"23613 Tyler Summit Apt. 281 Coxview, NJ 86078",Ashley.R@aol.com,7288128116,4
Shawn,Lee,1968-09-19,"17286 Anita Mills Apt. 379 Churchhaven, ID 66539",ShawnLee@hotmail.com,7512973664,5
Richard,Harvey,1991-09-30,"90779 Woodward Terrace Port Tina, LA 22695",Richard.H@yahoo.com,6761206117,4
Katherine,Berry,1961-03-29,"2312 Berry Vista Schroederfurt, AK 23851",Katherine.B@outlook.com,6780727915,3
Mary,Patterson,1980-10-14,Unit 7115 Box 3424 DPO AE 89948,MaryPatterson@outlook.com,9040633168,3
Sherri,Marsh,1974-01-09,Unit 9173 Box 3691 DPO AP 73460,SherriMarsh@msn.com,8153953755,8
Randy,Ross,1957-04-29,"4719 Jones Roads Suite 925 Rhondaview, WI 78268",RandyRoss@hotmail.com,9739909631,1
Taylor,Johnson,2003-10-03,"874 Moore Key West Kelli, MI 85023",T.Johnson@aol.com,9639430101,10
Lindsey,Wheeler,1986-01-10,"386 Powell Mountain North Sarah, MS 18802",L.Wheeler@outlook.com,9012637098,10
Madison,Wolf,1976-02-16,"1609 Smith Valley Sarahside, MI 27939",MadisonWolf@msn.com,7936185064,7
Tracy,Adams,1990-07-01,"265 Lori Forge Apt. 525 Wilkinsfort, KY 32121",MadisonWolf@msn.com,9415131801,9
